,user_id,recency,frequency,monetary,recency_segment,frequency_segment,monetary_segment,RFM_Score
0,0,1,20920,20920,4,4,4,444
1,1,2,27181,27181,4,4,4,444
2,2,1,29764,29764,4,4,4,444
3,3,1,38656,38656,4,4,4,444
4,4,1,37314,37314,4,4,4,444
5,5,2,38820,38820,4,4,4,444
6,6,1,39289,39289,4,4,4,444
7,7,1,39944,39944,4,4,4,444
8,8,1,41477,41477,4,4,4,444
9,9,1,43557,43557,4,4,4,444
10,10,1,39355,39355,4,4,4,444
11,11,1,46292,46292,4,4,4,444
12,12,1,44538,44538,4,4,4,444
13,13,1,41463,41463,4,4,4,444
14,14,1,36968,36968,4,4,4,444
15,15,4,38359,38359,4,4,4,444
16,16,2,39369,39369,4,4,4,444
17,17,4,40919,40919,4,4,4,444
18,18,3,36174,36174,4,4,4,444
19,19,3,38125,38125,4,4,4,444
20,20,7,42433,42433,4,4,4,444
21,21,8,35386,35386,4,4,4,444
22,22,3,30269,30269,4,4,4,444
23,23,5,30295,30295,4,4,4,444
24,24,11,32939,32939,4,4,4,444
25,25,5,34471,34471,4,4,4,444
26,26,2,32834,32834,4,4,4,444
27,27,29,42713,42713,4,4,4,444
28,28,11,36724,36724,4,4,4,444
29,29,10,33122,33122,4,4,4,444
30,30,1,33211,33211,4,4,4,444
31,31,2,41770,41770,4,4,4,444
32,32,17,26929,26929,4,4,4,444
33,33,1,38495,38495,4,4,4,444
34,34,20,30861,30861,4,4,4,444
35,35,17,25240,25240,4,4,4,444
36,36,25,26535,26535,4,4,4,444
37,37,2,25142,25142,4,4,4,444
38,38,1,26336,26336,4,4,4,444
39,39,2,26786,26786,4,4,4,444
40,40,14,32154,32154,4,4,4,444
41,41,19,28468,28468,4,4,4,444
42,42,4,26913,26913,4,4,4,444
43,43,1,21200,21200,4,4,4,444
44,44,28,23302,23302,4,4,4,444
45,45,18,23925,23925,4,4,4,444
46,46,12,19925,19925,4,4,4,444
47,47,2,23310,23310,4,4,4,444
48,48,7,24273,24273,4,4,4,444
49,49,2,28453,28453,4,4,4,444
50,50,16,26273,26273,4,4,4,444
51,51,7,22885,22885,4,4,4,444
52,52,1,21280,21280,4,4,4,444
53,53,9,22299,22299,4,4,4,444
54,54,51,22350,22350,3,4,4,344
55,55,38,26268,26268,3,4,4,344
56,56,14,24895,24895,4,4,4,444
57,57,9,21378,21378,4,4,4,444
58,58,7,18813,18813,4,4,4,444
59,59,30,21028,21028,3,4,4,344
60,60,23,20965,20965,4,4,4,444
61,61,42,22992,22992,3,4,4,344
62,62,1,19759,19759,4,4,4,444
63,63,9,22557,22557,4,4,4,444
64,64,38,18982,18982,3,4,4,344
65,65,23,19303,19303,4,4,4,444
66,66,16,21881,21881,4,4,4,444
67,67,16,21064,21064,4,4,4,444
68,68,41,22313,22313,3,4,4,344
69,69,1,24188,24188,4,4,4,444
70,70,41,20703,20703,3,4,4,344
71,71,4,17901,17901,4,4,4,444
72,72,4,21284,21284,4,4,4,444
73,73,58,16641,16641,3,3,3,333
74,74,4,19953,19953,4,4,4,444
75,75,7,17800,17800,4,4,4,444
76,76,4,17336,17336,4,3,3,433
77,77,4,20712,20712,4,4,4,444
78,78,53,21305,21305,3,4,4,344
79,79,44,18481,18481,3,4,4,344
80,80,45,18454,18454,3,4,4,344
81,81,29,13671,13671,4,3,3,433
82,82,50,14382,14382,3,3,3,333
83,83,95,17346,17346,2,3,3,233
84,84,4,13596,13596,4,3,3,433
85,85,17,17822,17822,4,4,4,444
86,86,52,14213,14213,3,3,3,333
87,87,39,13859,13859,3,3,3,333
88,88,17,18675,18675,4,4,4,444
89,89,17,13690,13690,4,3,3,433
90,90,67,15518,15518,3,3,3,333
91,91,83,17784,17784,2,3,3,233
92,92,17,7639,7639,4,3,3,433
93,93,74,10188,10188,2,3,3,233
94,94,51,13896,13896,3,3,3,333
95,95,17,11148,11148,4,3,3,433
96,96,75,11039,11039,2,3,3,233
97,97,110,10757,10757,2,3,3,233
98,98,65,11452,11452,3,3,3,333
99,99,67,10529,10529,3,3,3,333
100,100,86,9502,9502,2,3,3,233
101,101,40,11678,11678,3,3,3,333
102,102,50,14518,14518,3,3,3,333
103,103,52,8921,8921,3,3,3,333
104,104,77,11638,11638,2,3,3,233
105,105,50,9470,9470,3,3,3,333
106,106,30,7637,7637,3,3,3,333
107,107,98,9289,9289,2,3,3,233
108,108,50,13762,13762,3,3,3,333
109,109,81,11849,11849,2,3,3,233
110,110,31,10273,10273,3,3,3,333
111,111,30,11978,11978,3,3,3,333
112,112,50,8373,8373,3,3,3,333
113,113,31,9469,9469,3,3,3,333
114,114,111,7443,7443,2,3,3,233
115,115,113,5120,5120,2,3,3,233
116,116,109,5437,5437,2,3,3,233
117,117,39,9208,9208,3,3,3,333
118,118,65,4854,4854,3,3,3,333
